timestep,average_reward
100,-8.754245
200,-4.890682
300,-10.900836
400,-3.206389
500,-2.5608923
600,-2.3399854
700,-2.655376
800,-2.5521715
900,-2.6918898
1000,-2.1544697
1100,-2.0476906
1200,-2.5197685
1300,-3.0371108
1400,-2.8888736
1500,-2.0874813
1600,-2.8378506
1700,-2.7521698
1800,-2.736765
1900,-2.0728567
2000,-2.0965095
2100,-2.7336688
2200,-2.214671
2300,-2.6358676
2400,-1.8810334
2500,-2.3300626
2600,-2.4367154
2700,-2.8063154
2800,-2.6942556
2900,-2.5228357
3000,-2.7052002
3100,-2.4142509
3200,-2.2913086
3300,-2.218026
3400,-2.157422
3500,-1.9279402
3600,-2.4103692
3700,-2.389701
3800,-2.6311572
3900,-2.3201332
4000,-2.5953028
4100,-2.066014
4200,-2.015423
4300,-1.8980594
4400,-2.370165
4500,-2.0895803
4600,-2.3338773
4700,-2.002088
4800,-2.4873786
4900,-1.8425632
5000,-2.692494
5100,-2.9098315
5200,-2.6020648
5300,-2.8486097
5400,-1.8461165
5500,-2.6010528
5600,-3.0709138
5700,-2.7663207
5800,-1.8631581
5900,-2.3655078
6000,-1.9444907
6100,-3.0781665
6200,-2.608551
6300,-2.5085695
6400,-2.8379946
6500,-1.8971643
6600,-3.095301
6700,-2.9899096
6800,-2.5638757
6900,-2.466363
7000,-2.5656555
7100,-1.838684
7200,-2.9203415
7300,-3.1013122
7400,-2.5656116
7500,-1.6921009
7600,-1.8182904
7700,-2.7293036
7800,-3.241326
7900,-2.7365143
8000,-2.696251
8100,-2.7281094
8200,-3.2082071
8300,-1.96204
8400,-1.8706323
8500,-2.6139786
8600,-2.7681704
8700,-1.8128964
8800,-1.9300411
8900,-3.0044084
9000,-1.9084767
9100,-2.6239328
9200,-2.7311056
9300,-3.27651
9400,-2.9652133
9500,-2.7906654
9600,-2.8655255
9700,-1.8507638
9800,-3.112079
9900,-2.8068473
10000,-2.8269458
10100,-2.9264033
10200,-2.711423
10300,-2.7891324
10400,-2.892273
10500,-1.9386163
10600,-2.8048272
10700,-2.003676
